,speaker,minute,text,topic,label,prob,sentiment
11,Kristen Welker,08:27,"The goal is for you to hear each other and for the American people to hear every word of what you both have to say. And so with that, if you’re ready, let’s start. And we will begin with the fight against the coronavirus. President Trump, the first question is for you. The country is heading into a dangerous new phase. More than 40,000 Americans are in the hospital tonight with COVID, including record numbers here in Tennessee. And since the two of you last shared a stage, 16,000 Americans have died from COVID. So please be specific. How would you lead the country during this next stage of the coronavirus crisis? Two minutes, uninterrupted.",0_obamacare_healthcare_vaccine_insurance,4,0.11569053,confusion
12,Kristen Welker,09:03,… during this next stage of the coronavirus crisis. Two minutes uninterrupted.,0_obamacare_healthcare_vaccine_insurance,16,0.18675417,surprise
13,Kristen Welker,09:03,… during this next stage of the coronavirus crisis. Two minutes uninterrupted.,0_obamacare_healthcare_vaccine_insurance,6,0.1425355,disappointment
14,Kristen Welker,09:03,… during this next stage of the coronavirus crisis. Two minutes uninterrupted.,0_obamacare_healthcare_vaccine_insurance,9,0.14252484,fear
15,Donald Trump,09:04,"So as you know, 2.2 million people modeled out, were expected to die. We closed up the greatest economy in the world in order to fight this horrible disease that came from China. It’s a worldwide pandemic. It’s all over the world. You see the spikes in Europe and many other places right now. If you notice, the mortality rate is down 85%. The excess mortality rate is way down and much lower than almost any other country. And we’re fighting it and we’re fighting it hard. There is a spike. There was a spike in Florida and it’s now gone.",0_obamacare_healthcare_vaccine_insurance,9,0.3140948,fear
16,Donald Trump,09:04,"So as you know, 2.2 million people modeled out, were expected to die. We closed up the greatest economy in the world in order to fight this horrible disease that came from China. It’s a worldwide pandemic. It’s all over the world. You see the spikes in Europe and many other places right now. If you notice, the mortality rate is down 85%. The excess mortality rate is way down and much lower than almost any other country. And we’re fighting it and we’re fighting it hard. There is a spike. There was a spike in Florida and it’s now gone.",0_obamacare_healthcare_vaccine_insurance,16,0.20098254,surprise
17,Donald Trump,09:04,"So as you know, 2.2 million people modeled out, were expected to die. We closed up the greatest economy in the world in order to fight this horrible disease that came from China. It’s a worldwide pandemic. It’s all over the world. You see the spikes in Europe and many other places right now. If you notice, the mortality rate is down 85%. The excess mortality rate is way down and much lower than almost any other country. And we’re fighting it and we’re fighting it hard. There is a spike. There was a spike in Florida and it’s now gone.",0_obamacare_healthcare_vaccine_insurance,6,0.12669834,disappointment
18,Donald Trump,09:41,"There was a very big spike in Texas. It’s now gone. There was a very big spike in Arizona. It’s now gone. And there was some spikes and surges and other places, they will soon be gone. We have a vaccine that’s coming. It’s ready. It’s going to be announced within weeks. And it’s going to be delivered. We have Operation Warp Speed, which is the military is going to distribute the vaccine.",0_obamacare_healthcare_vaccine_insurance,14,0.25543597,realization
19,Donald Trump,09:41,"There was a very big spike in Texas. It’s now gone. There was a very big spike in Arizona. It’s now gone. And there was some spikes and surges and other places, they will soon be gone. We have a vaccine that’s coming. It’s ready. It’s going to be announced within weeks. And it’s going to be delivered. We have Operation Warp Speed, which is the military is going to distribute the vaccine.",0_obamacare_healthcare_vaccine_insurance,15,0.12669782,sadness
20,Donald Trump,09:41,"There was a very big spike in Texas. It’s now gone. There was a very big spike in Arizona. It’s now gone. And there was some spikes and surges and other places, they will soon be gone. We have a vaccine that’s coming. It’s ready. It’s going to be announced within weeks. And it’s going to be delivered. We have Operation Warp Speed, which is the military is going to distribute the vaccine.",0_obamacare_healthcare_vaccine_insurance,3,0.1125908,approval
21,Donald Trump,10:04,"I can tell you from personal experience, I was in the hospital. I had it and I got better. And I will tell you that I had something that they gave me, a therapeutic, I guess they would call it. Some people could say it was a cure, but I was in for a short period of time. And I got better very fast or I wouldn’t be here tonight. And now they say I’m immune. Whether it’s four months or a lifetime, nobody’s been able to say that, but I’m immune. More and more people are getting better. We have a problem that’s a worldwide problem. This is a worldwide problem, but I’ve been congratulated by the heads of many countries on what we’ve been able to do. If you take a look at what we’ve done in terms of goggles and masks and gowns and everything else, and in particular ventilators we’re now making ventilators all over the world, thousands and thousands a month distributing them all over the world. It will go away. And as I say, we’re rounding the turn. We’re rounding the corner. It’s going away.",0_obamacare_healthcare_vaccine_insurance,15,0.21534096,sadness
22,Donald Trump,10:04,"I can tell you from personal experience, I was in the hospital. I had it and I got better. And I will tell you that I had something that they gave me, a therapeutic, I guess they would call it. Some people could say it was a cure, but I was in for a short period of time. And I got better very fast or I wouldn’t be here tonight. And now they say I’m immune. Whether it’s four months or a lifetime, nobody’s been able to say that, but I’m immune. More and more people are getting better. We have a problem that’s a worldwide problem. This is a worldwide problem, but I’ve been congratulated by the heads of many countries on what we’ve been able to do. If you take a look at what we’ve done in terms of goggles and masks and gowns and everything else, and in particular ventilators we’re now making ventilators all over the world, thousands and thousands a month distributing them all over the world. It will go away. And as I say, we’re rounding the turn. We’re rounding the corner. It’s going away.",0_obamacare_healthcare_vaccine_insurance,14,0.16009454,realization
23,Donald Trump,10:04,"I can tell you from personal experience, I was in the hospital. I had it and I got better. And I will tell you that I had something that they gave me, a therapeutic, I guess they would call it. Some people could say it was a cure, but I was in for a short period of time. And I got better very fast or I wouldn’t be here tonight. And now they say I’m immune. Whether it’s four months or a lifetime, nobody’s been able to say that, but I’m immune. More and more people are getting better. We have a problem that’s a worldwide problem. This is a worldwide problem, but I’ve been congratulated by the heads of many countries on what we’ve been able to do. If you take a look at what we’ve done in terms of goggles and masks and gowns and everything else, and in particular ventilators we’re now making ventilators all over the world, thousands and thousands a month distributing them all over the world. It will go away. And as I say, we’re rounding the turn. We’re rounding the corner. It’s going away.",0_obamacare_healthcare_vaccine_insurance,3,0.12796864,approval
24,Kristen Welker,11:06,Okay. Former Vice President Biden to you. How would you lead the country out of this crisis? You have two minutes uninterrupted.,1_biden_vicepresident_vice_president,5,0.42730668,curiosity
25,Kristen Welker,11:06,Okay. Former Vice President Biden to you. How would you lead the country out of this crisis? You have two minutes uninterrupted.,1_biden_vicepresident_vice_president,4,0.2695927,confusion
26,Kristen Welker,11:06,Okay. Former Vice President Biden to you. How would you lead the country out of this crisis? You have two minutes uninterrupted.,1_biden_vicepresident_vice_president,13,0.044462726,optimism
27,Joe Biden,11:13,"220,000 Americans dead. You hear nothing else I say tonight, hear this. Anyone who is responsible for not taking control. In fact, not saying I take no responsibility initially. Anyone is responsible for that many deaths should not remain as president of the United States of America. We’re in a situation where there are a thousand deaths a day now. A thousand deaths a day. And there are over 70,000 new cases per day. Compared to what’s going on in Europe as the New England Medical Journal said, they’re starting from a very low rate. We’re starting from a very high rate.",0_obamacare_healthcare_vaccine_insurance,6,0.21202445,disappointment
28,Joe Biden,11:13,"220,000 Americans dead. You hear nothing else I say tonight, hear this. Anyone who is responsible for not taking control. In fact, not saying I take no responsibility initially. Anyone is responsible for that many deaths should not remain as president of the United States of America. We’re in a situation where there are a thousand deaths a day now. A thousand deaths a day. And there are over 70,000 new cases per day. Compared to what’s going on in Europe as the New England Medical Journal said, they’re starting from a very low rate. We’re starting from a very high rate.",0_obamacare_healthcare_vaccine_insurance,15,0.17037113,sadness
29,Joe Biden,11:13,"220,000 Americans dead. You hear nothing else I say tonight, hear this. Anyone who is responsible for not taking control. In fact, not saying I take no responsibility initially. Anyone is responsible for that many deaths should not remain as president of the United States of America. We’re in a situation where there are a thousand deaths a day now. A thousand deaths a day. And there are over 70,000 new cases per day. Compared to what’s going on in Europe as the New England Medical Journal said, they’re starting from a very low rate. We’re starting from a very high rate.",0_obamacare_healthcare_vaccine_insurance,16,0.1218964,surprise
30,Joe Biden,11:56,"The expectation is we’ll have another 200,000 Americans dead between now and the end of the year. If we just wore these masks, the president’s own advisors have told him, we can save a 100,000 lives. And we’re in a circumstance where the president thus far and still has no plan, no comprehensive plan.",0_obamacare_healthcare_vaccine_insurance,14,0.25567028,realization
31,Joe Biden,11:56,"The expectation is we’ll have another 200,000 Americans dead between now and the end of the year. If we just wore these masks, the president’s own advisors have told him, we can save a 100,000 lives. And we’re in a circumstance where the president thus far and still has no plan, no comprehensive plan.",0_obamacare_healthcare_vaccine_insurance,9,0.10617287,fear
32,Joe Biden,11:56,"The expectation is we’ll have another 200,000 Americans dead between now and the end of the year. If we just wore these masks, the president’s own advisors have told him, we can save a 100,000 lives. And we’re in a circumstance where the president thus far and still has no plan, no comprehensive plan.",0_obamacare_healthcare_vaccine_insurance,6,0.10578761,disappointment
33,Joe Biden,12:19,"What I would do is make sure we have everyone encouraged to wear a mask all the time. I would make sure we move into the direction of rapid testing, investing in rapid testing. I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe and give them the wherewithal, the financial resources to be able to do that.",0_obamacare_healthcare_vaccine_insurance,14,0.38524193,realization
34,Joe Biden,12:19,"What I would do is make sure we have everyone encouraged to wear a mask all the time. I would make sure we move into the direction of rapid testing, investing in rapid testing. I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe and give them the wherewithal, the financial resources to be able to do that.",0_obamacare_healthcare_vaccine_insurance,3,0.18173245,approval
35,Joe Biden,12:19,"What I would do is make sure we have everyone encouraged to wear a mask all the time. I would make sure we move into the direction of rapid testing, investing in rapid testing. I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe and give them the wherewithal, the financial resources to be able to do that.",0_obamacare_healthcare_vaccine_insurance,13,0.07483893,optimism
36,Joe Biden,12:41,"We’re in a situation now where the New England Medical Journal, one of the serious, most serious journals in the whole world said for the first time ever that the way this president has responded to this crisis has been absolutely tragic. And so folks, I will take care of this. I will end this. I will make sure we have a plan.",0_obamacare_healthcare_vaccine_insurance,14,0.26081407,realization
37,Joe Biden,12:41,"We’re in a situation now where the New England Medical Journal, one of the serious, most serious journals in the whole world said for the first time ever that the way this president has responded to this crisis has been absolutely tragic. And so folks, I will take care of this. I will end this. I will make sure we have a plan.",0_obamacare_healthcare_vaccine_insurance,16,0.18591715,surprise
38,Joe Biden,12:41,"We’re in a situation now where the New England Medical Journal, one of the serious, most serious journals in the whole world said for the first time ever that the way this president has responded to this crisis has been absolutely tragic. And so folks, I will take care of this. I will end this. I will make sure we have a plan.",0_obamacare_healthcare_vaccine_insurance,9,0.091673225,fear
39,Kristen Welker,13:01,"President Trump, I’d like to follow up with you and your comments. You talked about taking a therapeutic, I assume you’re referencing Regeneron. You also said a vaccine will be coming within weeks. Is that a guarantee?",0_obamacare_healthcare_vaccine_insurance,5,0.4079492,curiosity
40,Kristen Welker,13:01,"President Trump, I’d like to follow up with you and your comments. You talked about taking a therapeutic, I assume you’re referencing Regeneron. You also said a vaccine will be coming within weeks. Is that a guarantee?",0_obamacare_healthcare_vaccine_insurance,4,0.10703004,confusion
41,Kristen Welker,13:01,"President Trump, I’d like to follow up with you and your comments. You talked about taking a therapeutic, I assume you’re referencing Regeneron. You also said a vaccine will be coming within weeks. Is that a guarantee?",0_obamacare_healthcare_vaccine_insurance,14,0.08562522,realization
42,Donald Trump,13:13,"No, it’s not a guarantee, but it will be by the end of the year. But I think it has a good chance. There are two companies, I think within a matter of weeks and it will be distributed very quickly.",0_obamacare_healthcare_vaccine_insurance,14,0.52423924,realization
43,Donald Trump,13:13,"No, it’s not a guarantee, but it will be by the end of the year. But I think it has a good chance. There are two companies, I think within a matter of weeks and it will be distributed very quickly.",0_obamacare_healthcare_vaccine_insurance,3,0.13249385,approval
44,Donald Trump,13:13,"No, it’s not a guarantee, but it will be by the end of the year. But I think it has a good chance. There are two companies, I think within a matter of weeks and it will be distributed very quickly.",0_obamacare_healthcare_vaccine_insurance,15,0.0677029,sadness
45,Kristen Welker,13:22,Can you tell us which companies?,3_emissions_environmental_fracking_climate,5,0.5497057,curiosity
46,Kristen Welker,13:22,Can you tell us which companies?,3_emissions_environmental_fracking_climate,4,0.29240772,confusion
47,Kristen Welker,13:22,Can you tell us which companies?,3_emissions_environmental_fracking_climate,13,0.038888402,optimism
48,Donald Trump,13:23,"Johnson & Johnson is doing very well. Moderna is doing very well. Pfizer is doing very well and we have numerous others. Then we also have others that we’re working on very closely with other countries, in particular Europe.",3_emissions_environmental_fracking_climate,0,0.3938145,admiration
49,Donald Trump,13:23,"Johnson & Johnson is doing very well. Moderna is doing very well. Pfizer is doing very well and we have numerous others. Then we also have others that we’re working on very closely with other countries, in particular Europe.",3_emissions_environmental_fracking_climate,3,0.18090132,approval
50,Donald Trump,13:23,"Johnson & Johnson is doing very well. Moderna is doing very well. Pfizer is doing very well and we have numerous others. Then we also have others that we’re working on very closely with other countries, in particular Europe.",3_emissions_environmental_fracking_climate,14,0.10429619,realization
51,Kristen Welker,13:35,"Let me follow up with you and because this is new information. You have set a vaccine is coming soon within weeks now. Your own officials say, “It could take well into 2021 at the earliest for enough Americans to get vaccinated.” And even then they say, “The country will be wearing masks and distancing into 2022.” Is your timeline realistic?",0_obamacare_healthcare_vaccine_insurance,5,0.36878395,curiosity
52,Kristen Welker,13:35,"Let me follow up with you and because this is new information. You have set a vaccine is coming soon within weeks now. Your own officials say, “It could take well into 2021 at the earliest for enough Americans to get vaccinated.” And even then they say, “The country will be wearing masks and distancing into 2022.” Is your timeline realistic?",0_obamacare_healthcare_vaccine_insurance,4,0.1720663,confusion
53,Kristen Welker,13:35,"Let me follow up with you and because this is new information. You have set a vaccine is coming soon within weeks now. Your own officials say, “It could take well into 2021 at the earliest for enough Americans to get vaccinated.” And even then they say, “The country will be wearing masks and distancing into 2022.” Is your timeline realistic?",0_obamacare_healthcare_vaccine_insurance,14,0.10527421,realization
54,Donald Trump,13:53,"No, I think my timeline is going to be more accurate. I don’t know that they’re counting on the military the way I do, but we have our generals lined up, one in particular that’s the head of logistics and this is a very easy distribution for him. He’s ready to go. As soon as we have the vaccine and we expect to have a 100 million vials. As soon as we have the vaccine, he’s ready to go.",0_obamacare_healthcare_vaccine_insurance,14,0.32580143,realization
55,Donald Trump,13:53,"No, I think my timeline is going to be more accurate. I don’t know that they’re counting on the military the way I do, but we have our generals lined up, one in particular that’s the head of logistics and this is a very easy distribution for him. He’s ready to go. As soon as we have the vaccine and we expect to have a 100 million vials. As soon as we have the vaccine, he’s ready to go.",0_obamacare_healthcare_vaccine_insurance,3,0.15802477,approval
56,Donald Trump,13:53,"No, I think my timeline is going to be more accurate. I don’t know that they’re counting on the military the way I do, but we have our generals lined up, one in particular that’s the head of logistics and this is a very easy distribution for him. He’s ready to go. As soon as we have the vaccine and we expect to have a 100 million vials. As soon as we have the vaccine, he’s ready to go.",0_obamacare_healthcare_vaccine_insurance,15,0.10127196,sadness
57,Kristen Welker,14:13,"Vice President Biden, your reaction. And just 40% of Americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government. What steps would you take to give Americans confidence in a vaccine if it were approved?",0_obamacare_healthcare_vaccine_insurance,5,0.46646085,curiosity
58,Kristen Welker,14:13,"Vice President Biden, your reaction. And just 40% of Americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government. What steps would you take to give Americans confidence in a vaccine if it were approved?",0_obamacare_healthcare_vaccine_insurance,4,0.16649646,confusion
59,Kristen Welker,14:13,"Vice President Biden, your reaction. And just 40% of Americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government. What steps would you take to give Americans confidence in a vaccine if it were approved?",0_obamacare_healthcare_vaccine_insurance,14,0.06840032,realization
60,Joe Biden,14:26,"Make sure it’s totally transparent. Have the scientists of the world see it, know it, look at it, go through all the processes. And by the way, this is the same fellow who told you, “This is going to end by Easter” last time. This is the same fellow who told you that, “Don’t worry, we’re going to end this by the summer.” We’re about to go into a dark winter, a dark winter and he has no clear plan. And there’s no prospect that there’s going to be a vaccine available for the majority of the American people before the middle of next year.",0_obamacare_healthcare_vaccine_insurance,14,0.21951875,realization
61,Joe Biden,14:26,"Make sure it’s totally transparent. Have the scientists of the world see it, know it, look at it, go through all the processes. And by the way, this is the same fellow who told you, “This is going to end by Easter” last time. This is the same fellow who told you that, “Don’t worry, we’re going to end this by the summer.” We’re about to go into a dark winter, a dark winter and he has no clear plan. And there’s no prospect that there’s going to be a vaccine available for the majority of the American people before the middle of next year.",0_obamacare_healthcare_vaccine_insurance,15,0.1258689,sadness
62,Joe Biden,14:26,"Make sure it’s totally transparent. Have the scientists of the world see it, know it, look at it, go through all the processes. And by the way, this is the same fellow who told you, “This is going to end by Easter” last time. This is the same fellow who told you that, “Don’t worry, we’re going to end this by the summer.” We’re about to go into a dark winter, a dark winter and he has no clear plan. And there’s no prospect that there’s going to be a vaccine available for the majority of the American people before the middle of next year.",0_obamacare_healthcare_vaccine_insurance,3,0.1010498,approval
63,Kristen Welker,14:54,"President Trump, your reaction. He says, you have no plan.",8_trump_president_bernie_nobody,7,0.30167773,disapproval
64,Kristen Welker,14:54,"President Trump, your reaction. He says, you have no plan.",8_trump_president_bernie_nobody,2,0.14505155,annoyance
65,Kristen Welker,14:54,"President Trump, your reaction. He says, you have no plan.",8_trump_president_bernie_nobody,1,0.12297824,anger
66,Donald Trump,14:56,"I don’t think we’re going to have a dark winter at all. We’re opening up our country. We’ve learned and studied and understand the disease, which we didn’t at the beginning. When I closed and banned China from coming in heavily infected and then ultimately Europe, but China was in January. Months later, he was saying I was xenophobic. I did it too soon. Now he’s saying, “Oh, I should have moved quicker,” but he didn’t move quicker. He was months behind me, many months behind me.",2_china_putin_chinas_russia,15,0.27052033,sadness
67,Donald Trump,14:56,"I don’t think we’re going to have a dark winter at all. We’re opening up our country. We’ve learned and studied and understand the disease, which we didn’t at the beginning. When I closed and banned China from coming in heavily infected and then ultimately Europe, but China was in January. Months later, he was saying I was xenophobic. I did it too soon. Now he’s saying, “Oh, I should have moved quicker,” but he didn’t move quicker. He was months behind me, many months behind me.",2_china_putin_chinas_russia,7,0.12383612,disapproval
68,Donald Trump,14:56,"I don’t think we’re going to have a dark winter at all. We’re opening up our country. We’ve learned and studied and understand the disease, which we didn’t at the beginning. When I closed and banned China from coming in heavily infected and then ultimately Europe, but China was in January. Months later, he was saying I was xenophobic. I did it too soon. Now he’s saying, “Oh, I should have moved quicker,” but he didn’t move quicker. He was months behind me, many months behind me.",2_china_putin_chinas_russia,6,0.11955115,disappointment
69,Donald Trump,15:24,"And frankly, he ran the H1N1 swine flu and it was a total disaster. Far less lethal, but it was a total disaster. Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease. Look, his own person who ran that for him, who, as you know, was his chief of staff said, “It was catastrophic. It was horrible. We didn’t know what we were doing.” Now he comes up and he tells us how to do this.",0_obamacare_healthcare_vaccine_insurance,9,0.4228495,fear
70,Donald Trump,15:24,"And frankly, he ran the H1N1 swine flu and it was a total disaster. Far less lethal, but it was a total disaster. Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease. Look, his own person who ran that for him, who, as you know, was his chief of staff said, “It was catastrophic. It was horrible. We didn’t know what we were doing.” Now he comes up and he tells us how to do this.",0_obamacare_healthcare_vaccine_insurance,6,0.092466526,disappointment
71,Donald Trump,15:24,"And frankly, he ran the H1N1 swine flu and it was a total disaster. Far less lethal, but it was a total disaster. Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease. Look, his own person who ran that for him, who, as you know, was his chief of staff said, “It was catastrophic. It was horrible. We didn’t know what we were doing.” Now he comes up and he tells us how to do this.",0_obamacare_healthcare_vaccine_insurance,7,0.07324205,disapproval
72,Donald Trump,16:01,"Also, everything that he said about the way every single move that he said we should make, that’s what we’ve done. We’ve done all of it. But he was way behind us.",1_biden_vicepresident_vice_president,15,0.3104338,sadness
73,Donald Trump,16:01,"Also, everything that he said about the way every single move that he said we should make, that’s what we’ve done. We’ve done all of it. But he was way behind us.",1_biden_vicepresident_vice_president,3,0.1690658,approval
74,Donald Trump,16:01,"Also, everything that he said about the way every single move that he said we should make, that’s what we’ve done. We’ve done all of it. But he was way behind us.",1_biden_vicepresident_vice_president,13,0.103550926,optimism
75,Kristen Welker,16:10,"Vice President Biden, your response.",1_biden_vicepresident_vice_president,13,0.2564095,optimism
76,Kristen Welker,16:10,"Vice President Biden, your response.",1_biden_vicepresident_vice_president,3,0.21768321,approval
77,Kristen Welker,16:10,"Vice President Biden, your response.",1_biden_vicepresident_vice_president,14,0.08911677,realization
78,Joe Biden,16:12,"My response is he is xenophobic, but not because he shutdown access from China. And he did it late after 40 countries had already done that. In addition to that, what he did, he made sure that we had 44 people that were in there in China trying to get the Wuhan to determine what exactly the source was. What did the president say in January? He said, ” No.” He said, “He’s being transparent. The president of China is being transparent. We owe him a debt of gratitude. We have to thank him.”",2_china_putin_chinas_russia,10,0.4247449,gratitude
79,Joe Biden,16:12,"My response is he is xenophobic, but not because he shutdown access from China. And he did it late after 40 countries had already done that. In addition to that, what he did, he made sure that we had 44 people that were in there in China trying to get the Wuhan to determine what exactly the source was. What did the president say in January? He said, ” No.” He said, “He’s being transparent. The president of China is being transparent. We owe him a debt of gratitude. We have to thank him.”",2_china_putin_chinas_russia,5,0.12590022,curiosity
80,Joe Biden,16:12,"My response is he is xenophobic, but not because he shutdown access from China. And he did it late after 40 countries had already done that. In addition to that, what he did, he made sure that we had 44 people that were in there in China trying to get the Wuhan to determine what exactly the source was. What did the president say in January? He said, ” No.” He said, “He’s being transparent. The president of China is being transparent. We owe him a debt of gratitude. We have to thank him.”",2_china_putin_chinas_russia,4,0.09974859,confusion
81,Joe Biden,16:38,"And then what happened was we started talking about using the Defense Act to make sure we go out and get whatever is needed out there to protect people. And again, I go back to this. He had nothing, he did virtually nothing. And then he gets out of the hospital and he talks about, “Oh, don’t worry. It’s all going to be over soon.” Come on. There’s not another serious scientist in the world who thinks it’s going to be over soon.",0_obamacare_healthcare_vaccine_insurance,14,0.19304647,realization
82,Joe Biden,16:38,"And then what happened was we started talking about using the Defense Act to make sure we go out and get whatever is needed out there to protect people. And again, I go back to this. He had nothing, he did virtually nothing. And then he gets out of the hospital and he talks about, “Oh, don’t worry. It’s all going to be over soon.” Come on. There’s not another serious scientist in the world who thinks it’s going to be over soon.",0_obamacare_healthcare_vaccine_insurance,15,0.10415193,sadness
83,Joe Biden,16:38,"And then what happened was we started talking about using the Defense Act to make sure we go out and get whatever is needed out there to protect people. And again, I go back to this. He had nothing, he did virtually nothing. And then he gets out of the hospital and he talks about, “Oh, don’t worry. It’s all going to be over soon.” Come on. There’s not another serious scientist in the world who thinks it’s going to be over soon.",0_obamacare_healthcare_vaccine_insurance,2,0.07624871,annoyance
